,model,layer,representation,same_relation_group_rdm_corr,same_relation_group_rdm_std,same_head_rdm_corr,same_head_rdm_std,same_modifier_rdm_corr,same_modifier_rdm_std
0,meta-llama/Llama-3.2-3B,1,standard,0.2033125151976111,0.1579778800402467,,,,
1,meta-llama/Llama-3.2-3B,1,standard,0.2033125151976111,0.1579778800402467,0.43119613697439724,0.24621137309787816,,
2,meta-llama/Llama-3.2-3B,1,standard,0.2033125151976111,0.1579778800402467,0.43119613697439724,0.24621137309787816,0.3382939044639231,0.23611505655193107
3,meta-llama/Llama-3.2-3B,1,context,0.2053456403495872,0.15911201588152793,,,,
4,meta-llama/Llama-3.2-3B,1,context,0.2053456403495872,0.15911201588152793,0.43136605068771744,0.26185271347181455,,
5,meta-llama/Llama-3.2-3B,1,context,0.2053456403495872,0.15911201588152793,0.43136605068771744,0.26185271347181455,0.34413936801214895,0.2478128065084605
6,meta-llama/Llama-3.2-3B,1,no_context,0.2109134650671966,0.16231390387797742,,,,
7,meta-llama/Llama-3.2-3B,1,no_context,0.2109134650671966,0.16231390387797742,0.42638516791547365,0.250213523149923,,
8,meta-llama/Llama-3.2-3B,1,no_context,0.2109134650671966,0.16231390387797742,0.42638516791547365,0.250213523149923,0.34754717387686396,0.22945352801666652
9,meta-llama/Llama-3.2-3B,2,standard,0.2293365171429053,0.1456398943833002,,,,
10,meta-llama/Llama-3.2-3B,2,standard,0.2293365171429053,0.1456398943833002,0.3713477678539823,0.23938528510633375,,
11,meta-llama/Llama-3.2-3B,2,standard,0.2293365171429053,0.1456398943833002,0.3713477678539823,0.23938528510633375,0.3890243692046901,0.223497759149029
12,meta-llama/Llama-3.2-3B,2,context,0.23075970474928856,0.1338369395529085,,,,
13,meta-llama/Llama-3.2-3B,2,context,0.23075970474928856,0.1338369395529085,0.3920437855616655,0.2369661472437051,,
14,meta-llama/Llama-3.2-3B,2,context,0.23075970474928856,0.1338369395529085,0.3920437855616655,0.2369661472437051,0.39233038865517506,0.21745107851076417
15,meta-llama/Llama-3.2-3B,2,no_context,0.22268272812986983,0.13150448526585123,,,,
16,meta-llama/Llama-3.2-3B,2,no_context,0.22268272812986983,0.13150448526585123,0.3827372492107039,0.2505751480895478,,
17,meta-llama/Llama-3.2-3B,2,no_context,0.22268272812986983,0.13150448526585123,0.3827372492107039,0.2505751480895478,0.38730240562318713,0.21782454349942845
18,meta-llama/Llama-3.2-3B,3,standard,0.2903302717021886,0.15170111243239948,,,,
19,meta-llama/Llama-3.2-3B,3,standard,0.2903302717021886,0.15170111243239948,0.3650678548672695,0.2310519118613007,,
20,meta-llama/Llama-3.2-3B,3,standard,0.2903302717021886,0.15170111243239948,0.3650678548672695,0.2310519118613007,0.3905755400675776,0.21729112343090481
21,meta-llama/Llama-3.2-3B,3,context,0.2917534593085719,0.15402650750188265,,,,
22,meta-llama/Llama-3.2-3B,3,context,0.2917534593085719,0.15402650750188265,0.38527412028082847,0.24126568592163308,,
23,meta-llama/Llama-3.2-3B,3,context,0.2917534593085719,0.15402650750188265,0.38527412028082847,0.24126568592163308,0.37890243525186645,0.19794597257988764
24,meta-llama/Llama-3.2-3B,3,no_context,0.26456184014360795,0.1469923868407947,,,,
25,meta-llama/Llama-3.2-3B,3,no_context,0.26456184014360795,0.1469923868407947,0.38747647509321004,0.24813274997951876,,
26,meta-llama/Llama-3.2-3B,3,no_context,0.26456184014360795,0.1469923868407947,0.38747647509321004,0.24813274997951876,0.3958606078197734,0.20475218455282554
27,meta-llama/Llama-3.2-3B,4,standard,0.38914015408822755,0.16088739941650274,,,,
28,meta-llama/Llama-3.2-3B,4,standard,0.38914015408822755,0.16088739941650274,0.3644861852030032,0.18981818035822068,,
29,meta-llama/Llama-3.2-3B,4,standard,0.38914015408822755,0.16088739941650274,0.3644861852030032,0.18981818035822068,0.37744401822637813,0.19025848834990286
30,meta-llama/Llama-3.2-3B,4,context,0.39218984181619176,0.16730520043499122,,,,
31,meta-llama/Llama-3.2-3B,4,context,0.39218984181619176,0.16730520043499122,0.3781955870008746,0.20325727179669364,,
32,meta-llama/Llama-3.2-3B,4,context,0.39218984181619176,0.16730520043499122,0.3781955870008746,0.20325727179669364,0.3784783513246384,0.18662941286277987
33,meta-llama/Llama-3.2-3B,4,no_context,0.3613908552491868,0.14296879562189493,,,,
34,meta-llama/Llama-3.2-3B,4,no_context,0.3613908552491868,0.14296879562189493,0.38356980524112355,0.23539992394696074,,
35,meta-llama/Llama-3.2-3B,4,no_context,0.3613908552491868,0.14296879562189493,0.38356980524112355,0.23539992394696074,0.35969696250261857,0.1869799292986868
36,meta-llama/Llama-3.2-3B,5,standard,0.40499853027364124,0.20046407798118485,,,,
37,meta-llama/Llama-3.2-3B,5,standard,0.40499853027364124,0.20046407798118485,0.3253742347809853,0.18848796816797422,,
38,meta-llama/Llama-3.2-3B,5,standard,0.40499853027364124,0.20046407798118485,0.3253742347809853,0.18848796816797422,0.3601090339505436,0.19238317118627535
39,meta-llama/Llama-3.2-3B,5,context,0.4281761570061689,0.1974251415294833,,,,
40,meta-llama/Llama-3.2-3B,5,context,0.4281761570061689,0.1974251415294833,0.31729858637671454,0.17817584827932187,,
41,meta-llama/Llama-3.2-3B,5,context,0.4281761570061689,0.1974251415294833,0.31729858637671454,0.17817584827932187,0.3651813972838348,0.20508347623002576
42,meta-llama/Llama-3.2-3B,5,no_context,0.3892707987670175,0.17752720057586863,,,,
43,meta-llama/Llama-3.2-3B,5,no_context,0.3892707987670175,0.17752720057586863,0.3542088172043286,0.22843580539208164,,
44,meta-llama/Llama-3.2-3B,5,no_context,0.3892707987670175,0.17752720057586863,0.3542088172043286,0.22843580539208164,0.34735391512589836,0.19700737952852299
45,meta-llama/Llama-3.2-3B,6,standard,0.4125210933359528,0.21156999651634426,,,,
46,meta-llama/Llama-3.2-3B,6,standard,0.4125210933359528,0.21156999651634426,0.32166655617277473,0.2035185152271365,,
47,meta-llama/Llama-3.2-3B,6,standard,0.4125210933359528,0.21156999651634426,0.32166655617277473,0.2035185152271365,0.3073042020627043,0.18316165726473563
48,meta-llama/Llama-3.2-3B,6,context,0.4694485975912839,0.18954997090016648,,,,
49,meta-llama/Llama-3.2-3B,6,context,0.4694485975912839,0.18954997090016648,0.2722293599944708,0.20798345371748708,,
50,meta-llama/Llama-3.2-3B,6,context,0.4694485975912839,0.18954997090016648,0.2722293599944708,0.20798345371748708,0.2963271653451394,0.198806358825593
51,meta-llama/Llama-3.2-3B,6,no_context,0.3878459781021494,0.19692964845470567,,,,
52,meta-llama/Llama-3.2-3B,6,no_context,0.3878459781021494,0.19692964845470567,0.34931236642912367,0.24303162824280647,,
53,meta-llama/Llama-3.2-3B,6,no_context,0.3878459781021494,0.19692964845470567,0.34931236642912367,0.24303162824280647,0.32517253879354774,0.1875842550731534
54,meta-llama/Llama-3.2-3B,7,standard,0.4346821574924925,0.20473035240473553,,,,
55,meta-llama/Llama-3.2-3B,7,standard,0.4346821574924925,0.20473035240473553,0.3026253799731802,0.20319423528464717,,
56,meta-llama/Llama-3.2-3B,7,standard,0.4346821574924925,0.20473035240473553,0.3026253799731802,0.20319423528464717,0.30674196418477273,0.1999323826767341
57,meta-llama/Llama-3.2-3B,7,context,0.48368047365511674,0.19942864403301383,,,,
58,meta-llama/Llama-3.2-3B,7,context,0.48368047365511674,0.19942864403301383,0.2650598240710039,0.20097793561163793,,
59,meta-llama/Llama-3.2-3B,7,context,0.48368047365511674,0.19942864403301383,0.2650598240710039,0.20097793561163793,0.2721435096152439,0.1915131747659721
60,meta-llama/Llama-3.2-3B,7,no_context,0.39598011176853865,0.20014642152551565,,,,
61,meta-llama/Llama-3.2-3B,7,no_context,0.39598011176853865,0.20014642152551565,0.3353862748565235,0.25781202847493595,,
62,meta-llama/Llama-3.2-3B,7,no_context,0.39598011176853865,0.20014642152551565,0.3353862748565235,0.25781202847493595,0.3226362227411048,0.193724160939486
63,meta-llama/Llama-3.2-3B,8,standard,0.4426113455851993,0.2057529685347129,,,,
64,meta-llama/Llama-3.2-3B,8,standard,0.4426113455851993,0.2057529685347129,0.2721504701550111,0.1835858224625458,,
65,meta-llama/Llama-3.2-3B,8,standard,0.4426113455851993,0.2057529685347129,0.2721504701550111,0.1835858224625458,0.28813773501983764,0.17947835341580953
66,meta-llama/Llama-3.2-3B,8,context,0.49364278689979973,0.2013364737482398,,,,
67,meta-llama/Llama-3.2-3B,8,context,0.49364278689979973,0.2013364737482398,0.22388973278296304,0.18149148826044467,,
68,meta-llama/Llama-3.2-3B,8,context,0.49364278689979973,0.2013364737482398,0.22388973278296304,0.18149148826044467,0.2572088550398811,0.20356944239947272
69,meta-llama/Llama-3.2-3B,8,no_context,0.3835780483414844,0.2023576322519691,,,,
70,meta-llama/Llama-3.2-3B,8,no_context,0.3835780483414844,0.2023576322519691,0.30805750019701844,0.2520255431660439,,
71,meta-llama/Llama-3.2-3B,8,no_context,0.3835780483414844,0.2023576322519691,0.30805750019701844,0.2520255431660439,0.3130636372158773,0.18131129055059148
72,meta-llama/Llama-3.2-3B,9,standard,0.46273928458976277,0.2020218569557034,,,,
73,meta-llama/Llama-3.2-3B,9,standard,0.46273928458976277,0.2020218569557034,0.27947598970005194,0.1946160854746984,,
74,meta-llama/Llama-3.2-3B,9,standard,0.46273928458976277,0.2020218569557034,0.27947598970005194,0.1946160854746984,0.2822468939002162,0.1801376145801317
75,meta-llama/Llama-3.2-3B,9,context,0.5064514753572491,0.18904336149797757,,,,
76,meta-llama/Llama-3.2-3B,9,context,0.5064514753572491,0.18904336149797757,0.23467394590563867,0.19837535013658325,,
77,meta-llama/Llama-3.2-3B,9,context,0.5064514753572491,0.18904336149797757,0.23467394590563867,0.19837535013658325,0.24201148109253662,0.21098667512516137
78,meta-llama/Llama-3.2-3B,9,no_context,0.3854078609782629,0.1968993527454806,,,,
79,meta-llama/Llama-3.2-3B,9,no_context,0.3854078609782629,0.1968993527454806,0.280432831679576,0.23381931571764558,,
80,meta-llama/Llama-3.2-3B,9,no_context,0.3854078609782629,0.1968993527454806,0.280432831679576,0.23381931571764558,0.30970328461813845,0.2073842834187646
81,meta-llama/Llama-3.2-3B,10,standard,0.46111278446818194,0.20408526073872568,,,,
82,meta-llama/Llama-3.2-3B,10,standard,0.46111278446818194,0.20408526073872568,0.2982752576759212,0.17693156470555801,,
83,meta-llama/Llama-3.2-3B,10,standard,0.46111278446818194,0.20408526073872568,0.2982752576759212,0.17693156470555801,0.28416489407686274,0.1746629036438362
84,meta-llama/Llama-3.2-3B,10,context,0.5180402887235129,0.17982023651501924,,,,
85,meta-llama/Llama-3.2-3B,10,context,0.5180402887235129,0.17982023651501924,0.23939273153575757,0.18165123132823707,,
86,meta-llama/Llama-3.2-3B,10,context,0.5180402887235129,0.17982023651501924,0.23939273153575757,0.18165123132823707,0.22561240438131294,0.19288268200799463
87,meta-llama/Llama-3.2-3B,10,no_context,0.3866277360694486,0.1999839328752371,,,,
88,meta-llama/Llama-3.2-3B,10,no_context,0.3866277360694486,0.1999839328752371,0.29216310652427474,0.22655624973852778,,
89,meta-llama/Llama-3.2-3B,10,no_context,0.3866277360694486,0.1999839328752371,0.29216310652427474,0.22655624973852778,0.2917407786716854,0.20031886408148847
90,meta-llama/Llama-3.2-3B,11,standard,0.4586730342858106,0.2018990527794212,,,,
91,meta-llama/Llama-3.2-3B,11,standard,0.4586730342858106,0.2018990527794212,0.2788977905820265,0.1824683439002289,,
92,meta-llama/Llama-3.2-3B,11,standard,0.4586730342858106,0.2018990527794212,0.2788977905820265,0.1824683439002289,0.27585073429933643,0.17737173735187542
